a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.2,8.6,59.0,-37.46032641688362,-4.771002455614507,-6.979580376413651,2,Done,BTBT_theta=59.0_a=6.2_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.1,58.5,-29.85627318918705,-10.285566610982642,-2.3212849918054417,1,Done,BTBT_theta=58.5_a=13.0_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.7,4.3,59.5,-28.961920836009085,-9.662875887239352,-2.409042265382596,2,Done,BTBT_theta=59.5_a=12.7_b=4.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.5,58.0,-39.91661391174421,-5.497276254463941,-7.230515350704081,2,Done,BTBT_theta=58.0_a=5.8_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.2,59.0,-29.69929528888315,-10.10727846971713,-2.3711845873622224,1,Done,BTBT_theta=59.0_a=12.8_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,8.4,59.0,-38.11681482894346,-4.529969589551911,-7.26421891245991,2,Done,BTBT_theta=59.0_a=6.3_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.1,59.5,-29.957339950371534,-10.408979002851993,-2.284845486166887,2,Done,BTBT_theta=59.5_a=12.8_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.5,58.5,-38.21192024415359,-4.758383229142055,-7.17378844646737,1,Done,BTBT_theta=58.5_a=6.2_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.8,8.6,58.0,-39.51402859482914,-5.497276254463941,-7.129869021475315,2,Done,BTBT_theta=58.0_a=5.8_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,8.5,59.0,-37.449771699495614,-4.529969589551911,-7.097458130097948,2,Done,BTBT_theta=59.0_a=6.3_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
13.0,4.2,58.5,-29.608795794658363,-10.087580930441618,-2.3584084834437817,1,Done,BTBT_theta=58.5_a=13.0_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.8,4.3,59.5,-28.9690493484959,-9.662875887239352,-2.4108243935042992,2,Done,BTBT_theta=59.5_a=12.8_b=4.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.0,59.0,-29.701378622092307,-10.337549539050087,-2.256569885998033,1,Done,BTBT_theta=59.0_a=12.9_b=4.0_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.4,58.0,-40.117718315683305,-5.38323258724995,-7.3378132852958515,2,Done,BTBT_theta=58.0_a=5.9_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.3,8.6,59.0,-36.726528774015605,-4.529969589551911,-6.916647398727946,2,Done,BTBT_theta=59.0_a=6.3_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.1,59.5,-30.014368059579283,-10.408979002851993,-2.2991025134688243,2,Done,BTBT_theta=59.5_a=12.9_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.6,58.5,-37.54204076901078,-4.758383229142055,-7.006318577681668,1,Done,BTBT_theta=58.5_a=6.2_b=8.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.4,58.0,-39.83565257070586,-5.206293592462316,-7.355766346445307,2,Done,BTBT_theta=58.0_a=6.0_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.4,59.5,-39.25034889392555,-4.977045364212245,-7.324064541375264,1,Done,BTBT_theta=59.5_a=6.1_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.5,59.5,-38.06934997299686,-4.776731621939689,-7.128971682279371,2,Done,BTBT_theta=59.5_a=6.2_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.3,59.0,-40.13950546318665,-5.16853631590493,-7.450608207844198,2,Done,BTBT_theta=59.0_a=6.0_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.1,59.0,-29.97391876531765,-10.354693112662062,-2.316133134998381,1,Done,BTBT_theta=59.0_a=12.9_b=4.1_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.7,8.3,58.0,-39.99717364413664,-5.521165559999645,-7.238710631034337,2,Done,BTBT_theta=58.0_a=5.7_b=8.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.2,8.7,58.5,-36.81774362595752,-4.758383229142055,-6.825244291918352,1,Done,BTBT_theta=58.5_a=6.2_b=8.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.2,59.5,-29.64904428832233,-10.11628951318562,-2.354116315487772,2,Done,BTBT_theta=59.5_a=12.9_b=4.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.0,8.4,59.0,-39.73940508859232,-5.16853631590493,-7.350583114195615,2,Done,BTBT_theta=59.0_a=6.0_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,8.5,59.5,-38.65386298764497,-4.977045364212245,-7.17494306480512,1,Done,BTBT_theta=59.5_a=6.1_b=8.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.7,8.4,58.0,-39.99466360500082,-5.521165559999645,-7.238083121250383,2,Done,BTBT_theta=58.0_a=5.7_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
12.9,4.3,59.5,-28.928110597655177,-9.662875887239352,-2.4005897057941183,2,Done,BTBT_theta=59.5_a=12.9_b=4.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
5.9,8.4,58.5,-40.064994926098734,-5.344245390733704,-7.344126036157831,1,Done,BTBT_theta=58.5_a=5.9_b=8.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
