a,b,theta,E,E_p,E_t,machine_type,status,file_name
6.4,9.4,26.0,-27.134247762151062,-1.2138867194298657,-6.176618580822833,1,Done,BTBT_theta=26.0_a=6.4_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.5,25.5,-26.71943855052814,-1.1911834080237895,-6.08426793362014,2,Done,BTBT_theta=25.5_a=6.4_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.0,6.7,25.5,-36.64327074680477,-3.775313513353467,-7.27316093002446,2,Done,BTBT_theta=25.5_a=8.0_b=6.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.8,25.5,-34.592643367126584,-10.785190072609112,-3.25556580547709,2,Done,BTBT_theta=25.5_a=4.0_b=12.8_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.1,6.5,26.0,-37.44108696095645,-4.143323027994484,-7.288610226241872,1,Done,BTBT_theta=26.0_a=8.1_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.6,26.0,-35.071446049027145,-10.804222451057283,-3.365750286728144,1,Done,BTBT_theta=26.0_a=4.0_b=12.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,9.2,25.5,-27.316476665902883,-1.6141878988128155,-6.022025217069313,2,Done,BTBT_theta=25.5_a=6.1_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.4,9.5,26.0,-26.79923272226005,-1.2138867194298657,-6.092864820850082,1,Done,BTBT_theta=26.0_a=6.4_b=9.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.4,25.5,-39.43502508662641,-4.245287127792835,-7.736112707760185,2,Done,BTBT_theta=25.5_a=7.7_b=6.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.5,25.5,-34.879490739665926,-10.845744787948206,-3.2970002909423783,2,Done,BTBT_theta=25.5_a=3.8_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
8.1,6.6,26.0,-36.79240477504209,-3.967275097733364,-7.21446364489384,1,Done,BTBT_theta=26.0_a=8.1_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,9.3,25.5,-27.34117545979097,-1.6141878988128155,-6.028199915541336,2,Done,BTBT_theta=25.5_a=6.1_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.7,26.0,-34.85390088241547,-10.804222451057283,-3.311363995075226,1,Done,BTBT_theta=26.0_a=4.0_b=12.7_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,9.2,26.0,-27.439619226846844,-1.643379663815722,-6.03821497480385,1,Done,BTBT_theta=26.0_a=6.1_b=9.2_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.5,25.5,-39.11712852027267,-4.123499986948445,-7.717532136593945,2,Done,BTBT_theta=25.5_a=7.7_b=6.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.9,12.5,25.5,-35.415547432377934,-10.99252565181814,-3.357624032185413,2,Done,BTBT_theta=25.5_a=3.9_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.8,6.3,26.0,-39.57903863070533,-4.379605643218383,-7.70495683606714,1,Done,BTBT_theta=26.0_a=7.8_b=6.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,9.4,25.5,-27.30001080222428,-1.6141878988128155,-6.017908751149662,2,Done,BTBT_theta=25.5_a=6.1_b=9.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
3.8,12.4,26.0,-34.83469907613471,-10.783953878097236,-3.31669782998506,1,Done,BTBT_theta=26.0_a=3.8_b=12.4_cx=0_cy=0_cz=0_A1=0_A2=0.log
7.7,6.6,25.5,-38.666864995379,-3.962700549745932,-7.685365973971784,2,Done,BTBT_theta=25.5_a=7.7_b=6.6_cx=0_cy=0_cz=0_A1=0_A2=0.log
6.1,9.3,26.0,-27.462008784525096,-1.643379663815722,-6.043812364223413,1,Done,BTBT_theta=26.0_a=6.1_b=9.3_cx=0_cy=0_cz=0_A1=0_A2=0.log
4.0,12.5,25.5,-35.20316039677709,-10.785190072609112,-3.408195062889717,2,Done,BTBT_theta=25.5_a=4.0_b=12.5_cx=0_cy=0_cz=0_A1=0_A2=0.log
